,price,room_type,cancellation_policy,host_is_superhost,host_identity_verified,is_location_exact,has_availability,requires_license,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,latitude,longitude
0,109,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,False,False,False,4,1.0,2.0,2.0,150.0,125.0,1,0,2,1000,3,28,29,29,9,89.0,9.0,9.0,10.0,10.0,10.0,10.0,42,1.94,-37.85943394,144.9728379
1,138,Entire home/apt,flexible,False,True,False,True,False,False,False,False,4,1.0,2.0,2.0,0.0,59.0,4,10,1,1125,4,20,50,50,18,94.0,10.0,10.0,9.0,10.0,10.0,9.0,4,1.5,-37.80997106,144.9618823
2,100,Entire home/apt,strict_14_with_grace_period,True,False,True,True,False,True,False,False,7,2.0,2.0,5.0,200.0,75.0,4,35,2,28,15,41,71,318,6,97.0,9.0,10.0,8.0,10.0,10.0,9.0,29,0.47,-37.81446271,144.9545107
3,55,Private room,strict_14_with_grace_period,True,False,False,True,False,True,False,False,1,1.0,0.0,1.0,2000.0,0.0,1,0,2,14,11,41,68,68,20,96.0,10.0,10.0,10.0,10.0,10.0,10.0,6,6.38,-37.80539991,144.96650640000001
4,78,Private room,moderate,True,False,True,True,False,True,False,False,2,1.0,1.0,1.0,150.0,30.0,2,20,2,1125,26,56,86,361,26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.5,-37.80536872,144.9603606
5,226,Entire home/apt,strict_14_with_grace_period,False,True,False,True,False,True,False,False,6,2.0,3.0,3.0,0.0,180.0,6,10,1,1125,23,45,71,251,33,93.0,9.0,9.0,10.0,10.0,10.0,9.0,1,1.05,-37.72527328,145.064768
6,172,Entire home/apt,strict_14_with_grace_period,False,True,True,True,False,True,False,False,5,1.0,2.0,3.0,300.0,80.0,4,20,5,1125,3,3,3,3,56,90.0,9.0,9.0,10.0,10.0,10.0,9.0,87,1.29,-37.81484268,144.9716186
7,96,Entire home/apt,strict_14_with_grace_period,True,True,True,True,False,False,False,False,3,1.5,3.0,3.0,200.0,0.0,3,15,2,1125,5,35,63,243,28,96.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1.18,-37.92802813,145.51630600000001
8,205,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,False,False,False,4,2.0,2.0,2.0,1500.0,95.0,4,0,1,2,5,16,41,300,11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4,0.64,-37.82150294,144.9429358
9,150,Entire home/apt,flexible,False,True,True,True,False,False,False,False,3,1.0,1.0,1.0,150.0,0.0,2,50,2,1125,25,55,85,360,3,93.0,10.0,9.0,10.0,9.0,10.0,9.0,4,0.25,-37.82002156,144.955855
10,255,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,8,1.0,3.0,5.0,250.0,80.0,1,0,2,14,4,24,28,301,36,85.0,9.0,8.0,10.0,10.0,10.0,9.0,2,4.19,-37.8109033,144.988297
11,130,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,4,1.0,1.0,2.0,500.0,85.0,2,10,2,1124,13,32,62,337,86,94.0,10.0,9.0,10.0,10.0,10.0,10.0,7,3.75,-37.81081803,144.96531159999998
12,54,Private room,strict_14_with_grace_period,False,False,True,True,False,True,False,False,2,1.0,1.0,1.0,250.0,10.0,1,0,1,1125,0,0,0,0,6,88.0,9.0,8.0,9.0,10.0,9.0,9.0,1,0.51,-37.77225946,145.0266384
13,60,Private room,strict_14_with_grace_period,False,False,True,True,False,True,False,False,3,0.5,1.0,2.0,300.0,10.0,1,25,3,330,29,59,83,211,6,63.0,6.0,8.0,8.0,8.0,7.0,8.0,1,0.55,-37.99362432,145.1596545
14,251,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,6,1.0,2.0,3.0,800.0,99.0,1,0,1,365,19,45,75,348,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12,0.7,-37.80791367,144.9609714
15,161,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,True,True,6,2.0,2.0,3.0,250.0,140.0,4,0,1,1125,18,47,77,346,36,91.0,10.0,9.0,9.0,9.0,10.0,9.0,90,1.03,-37.81090508,144.9586439
16,100,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,False,False,False,2,1.0,1.0,1.0,200.0,60.0,1,10,3,21,20,41,65,134,4,90.0,9.0,9.0,10.0,10.0,10.0,9.0,1,2.11,-37.84094399,144.9399086
17,280,Entire home/apt,strict_14_with_grace_period,False,True,True,True,False,False,False,False,7,2.0,4.0,5.0,500.0,180.0,1,0,4,12,0,0,0,0,2,100.0,10.0,10.0,9.0,9.0,10.0,9.0,1,0.17,-37.863258,145.0228811
18,181,Entire home/apt,strict_14_with_grace_period,False,True,True,True,False,True,False,False,6,1.0,2.0,4.0,400.0,120.0,1,0,2,1125,5,11,41,313,128,90.0,9.0,9.0,9.0,10.0,10.0,9.0,2,3.73,-37.82514294,144.9652616
19,251,Entire home/apt,moderate,True,False,True,True,False,True,False,False,7,1.0,3.0,4.0,500.0,95.0,1,0,2,365,2,7,25,296,24,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5,2.15,-37.83928534,144.9763181
20,136,Entire home/apt,strict_14_with_grace_period,True,False,True,True,False,True,False,False,2,2.0,2.0,3.0,300.0,150.0,1,0,1,1125,7,37,67,157,3,93.0,10.0,10.0,9.0,10.0,9.0,9.0,22,3.0,-37.77743533,144.9390678
21,251,Entire home/apt,super_strict_60,True,False,True,True,False,False,False,True,6,2.0,2.0,5.0,300.0,100.0,4,10,4,60,14,29,59,232,111,95.0,10.0,10.0,10.0,10.0,10.0,10.0,13,2.2,-37.823976,144.9614074
22,112,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,2,1.0,1.0,1.0,400.0,89.0,2,29,1,1125,18,42,72,72,25,94.0,10.0,9.0,9.0,10.0,10.0,9.0,9,1.73,-37.85123385,144.98423569999997
23,100,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,4,1.0,0.0,2.0,200.0,39.0,2,15,1,1125,10,20,45,129,50,89.0,9.0,9.0,9.0,9.0,10.0,9.0,18,3.5,-37.81622183,144.9518956
24,116,Entire home/apt,moderate,False,False,True,True,False,True,False,False,5,1.0,2.0,3.0,0.0,135.0,1,0,2,240,0,18,39,129,31,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2,3.27,-37.784027200000004,144.93879109999997
25,138,Entire home/apt,strict_14_with_grace_period,True,False,True,True,False,False,False,False,2,1.0,1.0,1.0,200.0,50.0,1,0,2,300,21,51,81,323,230,97.0,10.0,10.0,10.0,10.0,10.0,9.0,23,3.84,-37.81728184,144.95355469999998
26,161,Entire home/apt,flexible,True,False,True,True,False,True,False,False,5,2.0,2.0,3.0,200.0,69.0,4,30,1,1125,9,39,63,63,4,85.0,9.0,8.0,8.0,10.0,10.0,9.0,10,2.11,-37.81124479,144.94939630000002
27,120,Private room,flexible,True,True,True,True,False,False,True,True,2,1.0,1.0,1.0,250.0,75.0,1,0,2,30,0,0,0,250,31,95.0,10.0,9.0,10.0,10.0,10.0,9.0,3,0.41,-37.80604851,144.9807892
